Cluster_ID,Cluster_Name,Sub_Cluster,Intent,Keyword,Search_Volume,Synthesia_Coverage,Priority,Action_Note
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",script to video ai,1000,Semantic,Top Priority,Promote conversion flow to primary H2
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",script to video,400,Semantic,Top Priority,"Currently rank ~80; reframe page H2 to ""Convert your script into an AI video"""
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",ai video generator from script,400,Semantic,Top Priority,Add explicit FAQ
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",ai script to video generator,200,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",ai video creator from script,150,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",script to video ai generator,150,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",script to video generator,150,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",script video,150,Direct,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",ai video maker from script,100,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",ai script to video,100,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",script to ai video,100,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",script for video,100,Direct,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",script to video maker,90,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",ai video from script,80,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",scripted video,70,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",ai movie generator from script,40,Gap,Quick Win,Add FAQ entry
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",video generator from script,30,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",ai script video generator,20,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",script vidéo,20,Gap,Adjacent,French variant; consider FR localization
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",ai to create video from script,10,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Generic phrasing,"User has a script, wants to convert it into a video",script to,30,Off-topic,Skip,Fragment / parser noise
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",create ai video from script,100,Semantic,Top Priority,Use verb in body copy: ""Create an AI video from your script"""
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",create video from script,80,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",convert script to video,60,Gap,Top Priority,"Add ""Convert"" verb explicitly to H2 or FAQ"
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",ai generate video from script,60,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",create video from script ai,50,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",generate video from script,50,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",turn script into video ai,40,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",turn script into video,30,Semantic,Top Priority,"Add ""Turn"" verb in body / FAQ"
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",ai generated video from script,30,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",turn a script into a video,30,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Create/Generate/Turn verbs,"Same conversion intent, action-verb framing",ai create video from script,30,Semantic,Top Priority,
1,Script-to-Video conversion (CORE),Free modifier,"Free / no-paywall version of conversion intent",script to video ai free,300,Semantic,Top Priority,"Lead with ""Free"" claim in H2 + add ""no watermark"" mention if true"
1,Script-to-Video conversion (CORE),Free modifier,"Free / no-paywall version of conversion intent",ai script to video generator free,150,Semantic,Top Priority,
